1048
52404	52403
52166	52165
49524	49525
47390	47391
52999	53000
48712	48713
45309	45310
53288	53287
50109	50108
43264	43263
53642	53643
41003	41004
54295	54296
44520	44521
39354	39353
54481	54480
40427	40428
51439	51438
37227	37228
54746	54747
35033	35034
55568	55567
43212	43211
33376	33377
55828	55829
34599	34598
53338	53339
56722	56721
31421	31422
57502	57501
28838	28839
36839	36840
53618	53619
31950	31951
46072	46071
29070	29071
55587	55588
29418	29419
49944	49943
54277	54278
42312	42313
29929	29930
52325	52324
33485	33486
50521	50520
46165	46166
30289	30290
30904	30905
48589	48588
35214	35215
31975	31976
46824	46823
42615	42614
32878	32877
45099	45098
33883	33884
43403	43402
37842	37843
41604	41605
34828	34827
36086	36085
40079	40078
38522	38523
58708	24967
58926	25686
57632	21888
56755	19805
59564	27990
59949	29467
57796	22350
55843	17891
58763	25154
54864	16138
60281	30734
53737	14279
60735	32635
56117	18455
52909	13060
60984	33776
54298	15144
60003	29712
52078	11811
61256	35000
51041	10419
61613	36998
56499	19296
50135	9290
61817	38322
51392	10918
61219	34880
49275	8254
62079	40390
48297	7124
62313	42862
54100	14804
61565	36698
49664	8735
59281	26932
62080	40389
51650	11193
50124	9275
60842	33138
61907	39055
58245	23572
51042	10420
61614	36997
53380	13719
51998	11691
60002	29711
61406	35780
60983	33775
52744	12813
53902	14526
60628	32234
56118	18456
58911	25659
60280	30733
54898	16210
55844	17890
59912	29329
58109	23147
56754	19806
59563	27989
57631	21889
59235	26766
58922	25674
3734	62474
4450	62515
2824	62399
4804	62539
2088	62324
3074	62424
5055	62549
1560	62256
5521	62568
1115	62166
1496	62243
6096	62589
784	62100
4025	62488
547	62031
7035	62621
7747	62643
743	62087
331	61942
5392	62558
8534	62655
191	61870
1412	62231
333	61944
9546	62665
100	61823
7183	62624
37	61776
798	62105
9963	62672
4156	62496
92	61819
9	61733
12239	62685
10373	62674
39	61777
7184	62623
202	61877
9547	62666
99	61822
2466	62367
189	61869
8784	62660
339	61945
7617	62642
4714	62531
742	62088
532	62017
6885	62617
3692	62471
748	62090
6344	62600
5522	62567
1116	62167
1980	62310
5054	62548
3075	62425
1610	62265
4705	62530
2127	62329
4451	62516
3101	62426
4219	62502
53053	35586
59715	48052
57927	43757
55664	39532
51911	33919
61172	52450
60511	50328
58900	45936
56875	41713
54389	37535
50152	31501
48735	29512
46633	26605
44583	23767
60291	49635
58560	45152
56356	40719
53655	36427
50662	32169
47577	27922
42982	21665
61177	52470
44492	23649
61334	52906
41254	19554
