a,b,d,C11,C22,C33,C12,anisotropy
1.000000,-1.000000,2.000000,0.094445,0.269773,0.117565,0.102888,0.350089
1.000000,-0.931034,1.866825,0.108827,0.266599,0.119143,0.101988,0.408205
1.000000,-0.862069,1.743163,0.124624,0.263329,0.119094,0.099440,0.473264
1.000000,-0.793103,1.629013,0.142607,0.262028,0.118106,0.095841,0.544244
1.000000,-0.724138,1.524376,0.162887,0.263020,0.116043,0.091199,0.619295
1.000000,-0.655172,1.429251,0.185452,0.266576,0.112761,0.085627,0.695684
1.000000,-0.586207,1.343639,0.210135,0.272908,0.108118,0.079376,0.769983
1.000000,-0.517241,1.267539,0.236337,0.287810,0.103073,0.072829,0.821155
1.000000,-0.448276,1.200951,0.263713,0.300051,0.095226,0.066473,0.878894
1.000000,-0.379310,1.143876,0.291219,0.314735,0.085673,0.061039,0.925283
1.000000,-0.310345,1.096314,0.317729,0.331257,0.074617,0.057104,0.959163
1.000000,-0.241379,1.058264,0.341773,0.348372,0.062641,0.054915,0.981057
1.000000,-0.172414,1.029727,0.361885,0.364422,0.050981,0.054350,0.993037
1.000000,-0.103448,1.010702,0.376504,0.377165,0.041453,0.054778,0.998246
1.000000,-0.034483,1.001189,0.384199,0.384256,0.036010,0.055266,0.999851
1.000000,0.034483,1.001189,0.384200,0.384257,0.036011,0.055267,0.999852
1.000000,0.103448,1.010702,0.376473,0.377134,0.041439,0.054760,0.998248
1.000000,0.172414,1.029727,0.361907,0.364445,0.050990,0.054363,0.993035
1.000000,0.241379,1.058264,0.341815,0.348416,0.062656,0.054937,0.981052
1.000000,0.310345,1.096314,0.317717,0.331242,0.074613,0.057098,0.959168
1.000000,0.379310,1.143876,0.291221,0.314736,0.085674,0.061040,0.925284
1.000000,0.448276,1.200951,0.263708,0.300044,0.095225,0.066471,0.878897
1.000000,0.517241,1.267539,0.236340,0.287814,0.103074,0.072830,0.821155
1.000000,0.586207,1.343639,0.210138,0.272915,0.108119,0.079377,0.769975
1.000000,0.655172,1.429251,0.185455,0.266581,0.112761,0.085628,0.695680
1.000000,0.724138,1.524376,0.162889,0.263026,0.116044,0.091199,0.619289
1.000000,0.793103,1.629013,0.142610,0.262034,0.118107,0.095841,0.544242
1.000000,0.862069,1.743163,0.124624,0.263331,0.119094,0.099440,0.473260
1.000000,0.931034,1.866825,0.108828,0.266606,0.119144,0.101988,0.408197
1.000000,1.000000,2.000000,0.094440,0.269861,0.117640,0.102824,0.349957
1.034483,-1.000000,1.933333,0.099834,0.256508,0.117513,0.102915,0.389204
1.034483,-0.931034,1.804598,0.116076,0.257028,0.120631,0.103472,0.451609
1.034483,-0.862069,1.685057,0.132253,0.254090,0.120290,0.100650,0.520497
1.034483,-0.793103,1.574713,0.150543,0.253160,0.119032,0.096786,0.594655
1.034483,-0.724138,1.473563,0.171007,0.254533,0.116730,0.091895,0.671848
1.034483,-0.655172,1.381609,0.193615,0.258521,0.113258,0.086104,0.748932
1.034483,-0.586207,1.298851,0.217982,0.270691,0.109651,0.079763,0.805279
1.034483,-0.517241,1.225287,0.243877,0.280640,0.103361,0.072962,0.869004
1.034483,-0.448276,1.160920,0.270619,0.293495,0.095445,0.066515,0.922057
1.034483,-0.379310,1.105747,0.297273,0.308920,0.085844,0.061039,0.962298
1.034483,-0.310345,1.059770,0.322773,0.326323,0.074742,0.057095,0.989121
1.034483,-0.241379,1.022989,0.345764,0.344462,0.062716,0.054926,1.003780
1.034483,-0.172414,0.995402,0.364814,0.361478,0.050961,0.054346,1.009228
1.034483,-0.103448,0.977011,0.378589,0.375039,0.041329,0.054752,1.009467
1.034483,-0.034483,0.967816,0.385891,0.382684,0.035854,0.055275,1.008379
1.034483,0.034483,0.967816,0.385891,0.382684,0.035854,0.055275,1.008380
1.034483,0.103448,0.977011,0.378579,0.375029,0.041325,0.054746,1.009466
1.034483,0.172414,0.995402,0.364798,0.361463,0.050955,0.054337,1.009227
1.034483,0.241379,1.022989,0.345761,0.344459,0.062715,0.054925,1.003780
1.034483,0.310345,1.059770,0.322771,0.326322,0.074742,0.057094,0.989120
1.034483,0.379310,1.105747,0.297289,0.308937,0.085848,0.061046,0.962296
1.034483,0.448276,1.160920,0.270613,0.293487,0.095443,0.066513,0.922061
1.034483,0.517241,1.225287,0.243878,0.280641,0.103361,0.072962,0.869004
1.034483,0.586207,1.298851,0.217994,0.270710,0.109654,0.079766,0.805265
1.034483,0.655172,1.381609,0.193615,0.258527,0.113259,0.086105,0.748918
1.034483,0.724138,1.473563,0.171010,0.254541,0.116730,0.091896,0.671839
1.034483,0.793103,1.574713,0.150540,0.253158,0.119031,0.096786,0.594649
1.034483,0.862069,1.685057,0.132254,0.254097,0.120290,0.100651,0.520488
1.034483,0.931034,1.804598,0.116077,0.257031,0.120631,0.103472,0.451609
1.034483,1.000000,1.933333,0.099835,0.256510,0.117513,0.102916,0.389204
1.068966,-1.000000,1.870968,0.106523,0.247265,0.119044,0.104533,0.430806
1.068966,-0.931034,1.746385,0.123330,0.247808,0.121937,0.104787,0.497685
1.068966,-0.862069,1.630701,0.139840,0.245187,0.121326,0.101709,0.570338
1.068966,-0.793103,1.523915,0.158374,0.244588,0.119820,0.097598,0.647516
1.068966,-0.724138,1.426029,0.178980,0.246333,0.117307,0.092480,0.726577
1.068966,-0.655172,1.337041,0.201567,0.250698,0.113664,0.086486,0.804023
1.068966,-0.586207,1.256952,0.225660,0.263213,0.109958,0.079971,0.857326
1.068966,-0.517241,1.185762,0.251118,0.273643,0.103563,0.073050,0.917686
1.068966,-0.448276,1.123471,0.277208,0.287070,0.095567,0.066535,0.965643
1.068966,-0.379310,1.070078,0.303070,0.303252,0.085908,0.061050,0.999400
1.068966,-0.310345,1.025584,0.327575,0.321484,0.074721,0.057092,1.018946
1.068966,-0.241379,0.989989,0.349543,0.340595,0.062587,0.054921,1.026271
1.068966,-0.172414,0.963293,0.367686,0.358656,0.050712,0.054358,1.025176
1.068966,-0.103448,0.945495,0.380706,0.373068,0.040939,0.054747,1.020472
1.068966,-0.034483,0.936596,0.387622,0.381243,0.035385,0.055279,1.016733
1.068966,0.034483,0.936596,0.387657,0.381274,0.035401,0.055300,1.016741
1.068966,0.103448,0.945495,0.380725,0.373085,0.040946,0.054759,1.020478
1.068966,0.172414,0.963293,0.367661,0.358634,0.050702,0.054344,1.025168
1.068966,0.241379,0.989989,0.349544,0.340596,0.062587,0.054921,1.026270
1.068966,0.310345,1.025584,0.327591,0.321499,0.074726,0.057099,1.018947
1.068966,0.379310,1.070078,0.303063,0.303245,0.085906,0.061046,0.999400
1.068966,0.448276,1.123471,0.277223,0.287088,0.095571,0.066540,0.965639
1.068966,0.517241,1.185762,0.251136,0.273665,0.103567,0.073057,0.917677
1.068966,0.586207,1.256952,0.225652,0.263202,0.109956,0.079968,0.857333
1.068966,0.655172,1.337041,0.201568,0.250703,0.113665,0.086486,0.804010
1.068966,0.724138,1.426029,0.178981,0.246331,0.117307,0.092480,0.726587
1.068966,0.793103,1.523915,0.158372,0.244587,0.119820,0.097598,0.647508
1.068966,0.862069,1.630701,0.139837,0.245183,0.121326,0.101709,0.570338
1.068966,0.931034,1.746385,0.123332,0.247817,0.121937,0.104787,0.497673
1.068966,1.000000,1.870968,0.106522,0.247261,0.119043,0.104532,0.430810
1.103448,-1.000000,1.812500,0.113262,0.238372,0.120398,0.105986,0.475148
1.103448,-0.931034,1.691810,0.130573,0.238925,0.123071,0.105943,0.546501
1.103448,-0.862069,1.579741,0.147367,0.236594,0.122211,0.102624,0.622868
1.103448,-0.793103,1.476293,0.166107,0.236309,0.120478,0.098281,0.702921
1.103448,-0.724138,1.381466,0.186795,0.238379,0.117771,0.092949,0.783605
1.103448,-0.655172,1.295259,0.209144,0.248083,0.115236,0.086997,0.843040
1.103448,-0.586207,1.217672,0.233068,0.255912,0.110165,0.080105,0.910733
1.103448,-0.517241,1.148707,0.258068,0.266800,0.103669,0.073094,0.967272
1.103448,-0.448276,1.088362,0.283529,0.280798,0.095595,0.066541,1.009723
1.103448,-0.379310,1.036638,0.308565,0.297645,0.085852,0.061041,1.036685
1.103448,-0.310345,0.993534,0.332168,0.316733,0.074570,0.057095,1.048733
1.103448,-0.241379,0.959052,0.353187,0.336814,0.062299,0.054926,1.048609
1.103448,-0.172414,0.933190,0.370502,0.355926,0.050265,0.054377,1.040951
1.103448,-0.103448,0.915948,0.382853,0.371225,0.040321,0.054758,1.031323
1.103448,-0.034483,0.907328,0.389397,0.379920,0.034653,0.055280,1.024945
1.103448,0.034483,0.907328,0.389408,0.379929,0.034658,0.055287,1.024951
1.103448,0.103448,0.915948,0.382832,0.371207,0.040313,0.054747,1.031317
1.103448,0.172414,0.933190,0.370455,0.355887,0.050249,0.054353,1.040934
1.103448,0.241379,0.959052,0.353217,0.336840,0.062308,0.054940,1.048619
1.103448,0.310345,0.993534,0.332192,0.316754,0.074577,0.057105,1.048739
1.103448,0.379310,1.036638,0.308583,0.297663,0.085857,0.061048,1.036687
1.103448,0.448276,1.088362,0.283532,0.280802,0.095596,0.066542,1.009724
1.103448,0.517241,1.148707,0.258084,0.266818,0.103672,0.073099,0.967268
1.103448,0.586207,1.217672,0.233051,0.255892,0.110162,0.080100,0.910740
1.103448,0.655172,1.295259,0.209157,0.248102,0.115239,0.087000,0.843029
1.103448,0.724138,1.381466,0.186794,0.238380,0.117771,0.092949,0.783598
1.103448,0.793103,1.476293,0.166107,0.236307,0.120478,0.098281,0.702931
1.103448,0.862069,1.579741,0.147367,0.236591,0.122211,0.102624,0.622877
1.103448,0.931034,1.691810,0.130571,0.238918,0.123071,0.105942,0.546512
1.103448,1.000000,1.812500,0.113260,0.238365,0.120396,0.105984,0.475152
1.137931,-1.000000,1.757576,0.120030,0.229788,0.121581,0.107284,0.522351
1.137931,-0.931034,1.640543,0.137790,0.230351,0.124043,0.106946,0.598173
1.137931,-0.862069,1.531870,0.154828,0.228287,0.122949,0.103396,0.678218
1.137931,-0.793103,1.431557,0.173723,0.228290,0.121006,0.098833,0.760975
1.137931,-0.724138,1.339603,0.194361,0.235383,0.119435,0.093676,0.825723
1.137931,-0.655172,1.256008,0.216616,0.240623,0.115469,0.087186,0.900230
1.137931,-0.586207,1.180773,0.240227,0.248800,0.110273,0.080174,0.965543
1.137931,-0.517241,1.113898,0.264794,0.260155,0.103690,0.073110,1.017830
1.137931,-0.448276,1.055381,0.289602,0.274663,0.095534,0.066536,1.054391
1.137931,-0.379310,1.005225,0.313853,0.292162,0.085708,0.061042,1.074242
