a,b,d,C11,C22,C33,C12,anisotropy
1.000000,-1.000000,2.000000,0.040564,0.116449,0.054002,0.051863,0.348341
1.000000,-0.931034,1.866825,0.046956,0.115527,0.055149,0.052583,0.406445
1.000000,-0.862069,1.743163,0.053334,0.112340,0.054640,0.051671,0.474756
1.000000,-0.793103,1.629013,0.060539,0.109916,0.053542,0.050155,0.550774
1.000000,-0.724138,1.524376,0.068607,0.108438,0.051754,0.047970,0.632680
1.000000,-0.655172,1.429251,0.077531,0.108085,0.049178,0.045072,0.717318
1.000000,-0.586207,1.343639,0.087255,0.109016,0.045734,0.041465,0.800388
1.000000,-0.517241,1.267539,0.097817,0.118638,0.042560,0.038114,0.824499
1.000000,-0.448276,1.200951,0.108560,0.122762,0.037175,0.033267,0.884316
1.000000,-0.379310,1.143876,0.119380,0.128205,0.030934,0.028143,0.931164
1.000000,-0.310345,1.096314,0.129805,0.134630,0.024076,0.023060,0.964161
1.000000,-0.241379,1.058264,0.139264,0.141463,0.017050,0.018387,0.984456
1.000000,-0.172414,1.029727,0.147113,0.147876,0.010550,0.014491,0.994835
1.000000,-0.103448,1.010702,0.152795,0.152965,0.005461,0.011696,0.998886
1.000000,-0.034483,1.001189,0.155825,0.155838,0.002651,0.010232,0.999920
1.000000,0.034483,1.001189,0.155820,0.155832,0.002651,0.010230,0.999919
1.000000,0.103448,1.010702,0.152801,0.152971,0.005461,0.011697,0.998888
1.000000,0.172414,1.029727,0.147122,0.147886,0.010551,0.014492,0.994836
1.000000,0.241379,1.058264,0.139261,0.141459,0.017050,0.018387,0.984456
1.000000,0.310345,1.096314,0.129804,0.134629,0.024076,0.023060,0.964163
1.000000,0.379310,1.143876,0.119381,0.128206,0.030934,0.028143,0.931167
1.000000,0.448276,1.200951,0.108566,0.122768,0.037176,0.033266,0.884315
1.000000,0.517241,1.267539,0.097814,0.118634,0.042560,0.038114,0.824498
1.000000,0.586207,1.343639,0.087256,0.109017,0.045734,0.041466,0.800390
1.000000,0.655172,1.429251,0.077534,0.108086,0.049179,0.045072,0.717333
1.000000,0.724138,1.524376,0.068608,0.108441,0.051755,0.047970,0.632674
1.000000,0.793103,1.629013,0.060541,0.109919,0.053543,0.050156,0.550779
1.000000,0.862069,1.743163,0.053335,0.112341,0.054641,0.051672,0.474762
1.000000,0.931034,1.866825,0.046956,0.115530,0.055150,0.052584,0.406445
1.000000,1.000000,2.000000,0.040604,0.116576,0.054079,0.051929,0.348305
1.034483,-1.000000,1.933333,0.041784,0.106854,0.052447,0.050401,0.391041
1.034483,-0.931034,1.804598,0.050179,0.111122,0.055784,0.053203,0.451565
1.034483,-0.862069,1.685057,0.056695,0.108136,0.055110,0.052133,0.524288
1.034483,-0.793103,1.574713,0.063991,0.105941,0.053850,0.050463,0.604021
1.034483,-0.724138,1.473563,0.072088,0.104719,0.051912,0.048136,0.688397
1.034483,-0.655172,1.381609,0.080965,0.104644,0.049210,0.045120,0.773724
1.034483,-0.586207,1.298851,0.090785,0.112716,0.047001,0.042470,0.805429
1.034483,-0.517241,1.225287,0.100874,0.115732,0.042510,0.038082,0.871612
1.034483,-0.448276,1.160920,0.111282,0.120219,0.037107,0.033213,0.925660
1.034483,-0.379310,1.105747,0.121678,0.126049,0.030878,0.028095,0.965324
1.034483,-0.310345,1.059770,0.131617,0.132883,0.024045,0.023032,0.990469
1.034483,-0.241379,1.022989,0.140585,0.140151,0.017042,0.018377,1.003095
1.034483,-0.172414,0.995402,0.148006,0.147002,0.010551,0.014493,1.006830
1.034483,-0.103448,0.977011,0.153337,0.152424,0.005455,0.011698,1.005995
1.034483,-0.034483,0.967816,0.156187,0.155497,0.002637,0.010232,1.004440
1.034483,0.034483,0.967816,0.156170,0.155481,0.002636,0.010227,1.004433
1.034483,0.103448,0.977011,0.153338,0.152424,0.005455,0.011698,1.005997
1.034483,0.172414,0.995402,0.148005,0.147001,0.010551,0.014493,1.006830
1.034483,0.241379,1.022989,0.140585,0.140152,0.017042,0.018377,1.003093
1.034483,0.310345,1.059770,0.131621,0.132887,0.024045,0.023032,0.990473
1.034483,0.379310,1.105747,0.121682,0.126052,0.030878,0.028095,0.965325
1.034483,0.448276,1.160920,0.111277,0.120214,0.037107,0.033213,0.925662
1.034483,0.517241,1.225287,0.100874,0.115733,0.042510,0.038082,0.871611
1.034483,0.586207,1.298851,0.090789,0.112721,0.047002,0.042470,0.805430
1.034483,0.655172,1.381609,0.080965,0.104643,0.049210,0.045120,0.773733
1.034483,0.724138,1.473563,0.072087,0.104718,0.051912,0.048136,0.688392
1.034483,0.793103,1.574713,0.063992,0.105941,0.053850,0.050464,0.604031
1.034483,0.862069,1.685057,0.056694,0.108134,0.055110,0.052133,0.524298
1.034483,0.931034,1.804598,0.050180,0.111124,0.055785,0.053204,0.451569
1.034483,1.000000,1.933333,0.041784,0.106854,0.052447,0.050401,0.391041
1.068966,-1.000000,1.870968,0.044677,0.102728,0.053087,0.051031,0.434900
1.068966,-0.931034,1.746385,0.053405,0.106887,0.056325,0.053734,0.499640
1.068966,-0.862069,1.630701,0.060035,0.104097,0.055498,0.052517,0.576721
1.068966,-0.793103,1.523915,0.067395,0.102119,0.054091,0.050707,0.659966
1.068966,-0.724138,1.426029,0.075496,0.101137,0.052023,0.048257,0.746471
1.068966,-0.655172,1.337041,0.084306,0.101326,0.049217,0.045141,0.832033
1.068966,-0.586207,1.256952,0.093967,0.109575,0.047004,0.042487,0.857554
1.068966,-0.517241,1.185762,0.103798,0.112896,0.042476,0.038061,0.919411
1.068966,-0.448276,1.123471,0.113866,0.117719,0.037070,0.033185,0.967272
1.068966,-0.379310,1.070078,0.123851,0.123920,0.030859,0.028079,0.999447
1.068966,-0.310345,1.025584,0.133336,0.131163,0.024050,0.023036,1.016566
1.068966,-0.241379,0.989989,0.141836,0.138856,0.017057,0.018394,1.021463
1.068966,-0.172414,0.963293,0.148850,0.146133,0.010555,0.014510,1.018591
1.068966,-0.103448,0.945495,0.153868,0.151904,0.005434,0.011703,1.012931
1.068966,-0.034483,0.936596,0.156545,0.155175,0.002594,0.010227,1.008826
1.068966,0.034483,0.936596,0.156526,0.155158,0.002593,0.010221,1.008818
1.068966,0.103448,0.945495,0.153862,0.151899,0.005433,0.011702,1.012929
1.068966,0.172414,0.963293,0.148843,0.146127,0.010555,0.014509,1.018590
1.068966,0.241379,0.989989,0.141836,0.138856,0.017057,0.018394,1.021460
1.068966,0.310345,1.025584,0.133337,0.131164,0.024050,0.023036,1.016567
1.068966,0.379310,1.070078,0.123850,0.123918,0.030859,0.028079,0.999450
1.068966,0.448276,1.123471,0.113868,0.117721,0.037071,0.033185,0.967273
1.068966,0.517241,1.185762,0.103799,0.112898,0.042476,0.038061,0.919411
1.068966,0.586207,1.256952,0.093968,0.109577,0.047004,0.042487,0.857552
1.068966,0.655172,1.337041,0.084307,0.101326,0.049218,0.045141,0.832041
1.068966,0.724138,1.426029,0.075498,0.101140,0.052024,0.048257,0.746474
1.068966,0.793103,1.523915,0.067396,0.102121,0.054091,0.050708,0.659968
1.068966,0.862069,1.630701,0.060034,0.104095,0.055498,0.052517,0.576722
1.068966,0.931034,1.746385,0.053407,0.106889,0.056326,0.053735,0.499644
1.068966,1.000000,1.870968,0.044676,0.102725,0.053085,0.051029,0.434905
1.103448,-1.000000,1.812500,0.047584,0.098762,0.053637,0.051574,0.481804
1.103448,-0.931034,1.691810,0.056629,0.102819,0.056782,0.054184,0.550759
1.103448,-0.862069,1.579741,0.063348,0.100215,0.055812,0.052830,0.632116
1.103448,-0.793103,1.476293,0.070752,0.098448,0.054274,0.050894,0.718667
1.103448,-0.724138,1.381466,0.078835,0.097695,0.052094,0.048336,0.806949
1.103448,-0.655172,1.295259,0.087857,0.104432,0.050712,0.046383,0.841284
1.103448,-0.586207,1.217672,0.097042,0.106532,0.047005,0.042498,0.910920
1.103448,-0.517241,1.148707,0.106611,0.110138,0.042459,0.038050,0.967981
1.103448,-0.448276,1.088362,0.116335,0.115269,0.037063,0.033178,1.009249
1.103448,-0.379310,1.036638,0.125915,0.121817,0.030875,0.028093,1.033638
1.103448,-0.310345,0.993534,0.134954,0.129448,0.024086,0.023069,1.042536
1.103448,-0.241379,0.959052,0.143031,0.137578,0.017094,0.018435,1.039636
1.103448,-0.172414,0.933190,0.149640,0.145261,0.010565,0.014538,1.030146
1.103448,-0.103448,0.915948,0.154380,0.151396,0.005401,0.011711,1.019713
1.103448,-0.034483,0.907328,0.156888,0.154861,0.002528,0.010214,1.013090
1.103448,0.034483,0.907328,0.156881,0.154855,0.002528,0.010213,1.013083
1.103448,0.103448,0.915948,0.154381,0.151396,0.005401,0.011711,1.019714
1.103448,0.172414,0.933190,0.149644,0.145265,0.010565,0.014539,1.030149
1.103448,0.241379,0.959052,0.143017,0.137565,0.017093,0.018434,1.039630
1.103448,0.310345,0.993534,0.134961,0.129455,0.024086,0.023069,1.042537
1.103448,0.379310,1.036638,0.125919,0.121821,0.030876,0.028093,1.033636
