a,b,d,C11,C22,C33,C12,anisotropy
1.596552,-0.310345,0.686676,0.286071,0.198850,0.052931,0.045487,1.438625
1.596552,-0.241379,0.662844,0.294827,0.224485,0.040520,0.041084,1.313347
1.596552,-0.172414,0.644969,0.310044,0.250853,0.027458,0.037799,1.235959
1.596552,-0.103448,0.633053,0.315062,0.273643,0.015274,0.035196,1.151361
1.596552,-0.034483,0.627095,0.317730,0.287206,0.007869,0.033843,1.106281
1.596552,0.034483,0.627095,0.317727,0.287204,0.007869,0.033842,1.106275
1.596552,0.103448,0.633053,0.315064,0.273644,0.015274,0.035197,1.151365
1.596552,0.172414,0.644969,0.310044,0.250853,0.027458,0.037799,1.235959
1.596552,0.241379,0.662844,0.294822,0.224484,0.040519,0.041084,1.313337
1.596552,0.310345,0.686676,0.286083,0.198857,0.052932,0.045487,1.438640
1.596552,0.379310,0.716467,0.275905,0.176412,0.063305,0.050407,1.563982
1.596552,0.448276,0.752216,0.264612,0.157962,0.071615,0.055684,1.675166
1.596552,0.517241,0.793923,0.252463,0.143428,0.078249,0.061178,1.760204
1.596552,0.586207,0.841588,0.239744,0.132401,0.083655,0.066750,1.810741
1.596552,0.655172,0.895211,0.226711,0.124380,0.088192,0.072262,1.822737
1.596552,0.724138,0.954793,0.213612,0.118905,0.092104,0.077578,1.796491
1.596552,0.793103,1.020332,0.200635,0.115588,0.095534,0.082580,1.735772
1.596552,0.862069,1.091830,0.187942,0.114112,0.098558,0.087176,1.646989
1.596552,0.931034,1.169286,0.175622,0.114196,0.101202,0.091300,1.537892
1.596552,1.000000,1.252700,0.163778,0.115623,0.103478,0.094913,1.416484
1.641379,-1.000000,1.218487,0.170016,0.110178,0.102980,0.094414,1.543099
1.641379,-0.931034,1.137351,0.181779,0.108899,0.100645,0.090745,1.669251
1.641379,-0.862069,1.062011,0.193944,0.108933,0.097983,0.086608,1.780399
1.641379,-0.793103,0.992466,0.206423,0.110502,0.094988,0.082044,1.868048
1.641379,-0.724138,0.928716,0.219121,0.113884,0.091637,0.077119,1.924071
1.641379,-0.655172,0.870762,0.231866,0.119398,0.087854,0.071922,1.941959
1.641379,-0.586207,0.818603,0.244476,0.127453,0.083493,0.066561,1.918158
1.641379,-0.517241,0.772240,0.256730,0.138540,0.078301,0.061154,1.853108
1.641379,-0.448276,0.731672,0.268357,0.153191,0.071889,0.055819,1.751784
1.641379,-0.379310,0.696899,0.279121,0.171898,0.063770,0.050662,1.623757
1.641379,-0.310345,0.667922,0.288783,0.194809,0.053491,0.045799,1.482396
1.641379,-0.241379,0.644741,0.297060,0.221192,0.041004,0.041367,1.342992
1.641379,-0.172414,0.627354,0.311975,0.248600,0.027646,0.037982,1.254930
1.641379,-0.103448,0.615764,0.316731,0.272458,0.015065,0.035244,1.162494
1.641379,-0.034483,0.609968,0.319253,0.286731,0.007355,0.033789,1.113422
1.641379,0.034483,0.609968,0.319256,0.286732,0.007355,0.033790,1.113430
1.641379,0.103448,0.615764,0.316730,0.272458,0.015065,0.035243,1.162490
