id,Time,Latitude,Longitude,SpeedOverGround (m/s),CourseOverGround (deg),Temperature (C),Humidity (%),Pressure (hPa),Device1_MAC,Device1_WindSpeed (m/s),Device1_WindAngle (deg),Device1_TrueWindAngle (deg),Device1_TrueWindSpeed (m/s),Device1_CrossWindSpeed (m/s),Device1_TrueWindDirection (deg),Device1_VelocityMadeGood (m/s),Device2_MAC,Device2_WindSpeed (m/s),Device2_WindAngle (deg),Device2_TrueWindAngle (deg),Device2_TrueWindSpeed (m/s),Device2_CrossWindSpeed (m/s),Device2_TrueWindDirection (deg),Device2_VelocityMadeGood (m/s),Device3_MAC,Device3_WindSpeed (m/s),Device3_WindAngle (deg),Device3_TrueWindAngle (deg),Device3_TrueWindSpeed (m/s),Device3_CrossWindSpeed (m/s),Device3_TrueWindDirection (deg),Device3_VelocityMadeGood (m/s)
1,2025-05-15 23:26:35.682849,40.8169783,1.7161962,4.129251956939697,84.85934941812728,23.670000000000016,49.0,1011.0,,8.5,14.0,26.533936964047594,4.603107404003171,,111.39328638217488,3.694317503187403,,,,,,,,,,,,,,,,
2,2025-05-15 23:26:40.682950,40.8168253,1.7159957,4.166056156158447,40.914704600208964,23.670000000000016,49.0,1011.0,,8.4,16.0,30.64177834662706,4.5428586192771725,,71.55648294683603,3.58435232067327,,,,,,,,,,,,,,,,
3,2025-05-15 23:26:45.683161,40.8167176,1.7158702,4.128281116485596,44.872939243109336,23.670000000000016,49.0,1011.0,,8.7,14.0,26.01059645287632,4.799409719516866,,70.88353569598566,3.710139730585499,,,,,,,,,,,,,,,,
4,2025-05-15 23:26:50.686272,40.8165692,1.7156658,4.3195037841796875,42.804232037863386,23.670000000000016,49.0,1011.0,,8.4,14.0,27.943719695030957,4.336590724249165,,70.74795173289434,3.8158855715561777,,,,,,,,,,,,,,,,
5,2025-05-15 23:26:55.683324,40.8164672,1.7155349,4.23025369644165,44.522844236821996,23.670000000000016,49.0,1011.0,,8.5,15.0,28.931103435174684,4.547653712052609,,73.45394767199667,3.702326684390072,,,,,,,,,,,,,,,,
6,2025-05-15 23:27:00.686392,40.8163294,1.7153894,4.409328460693359,44.2670809731617,23.670000000000016,49.0,1011.0,,8.7,19.0,36.57990749381012,4.75287315994288,,80.84698846697182,3.5408076460869213,,,,,,,,,,,,,,,,
7,2025-05-15 23:27:05.682774,40.8161854,1.7152472,3.9514107704162598,42.944940764954815,23.670000000000016,49.0,1011.0,,8.1,14.0,26.63040341392569,4.371755705339563,,69.5753441788805,3.532231334260995,,,,,,,,,,,,,,,,
8,2025-05-15 23:27:10.683205,40.8160323,1.7150904,4.159459114074707,37.52720397944944,23.670000000000016,49.0,1011.0,,8.1,16.0,31.616781601906435,4.258893614815711,,69.14398558135588,3.542084844649067,,,,,,,,,,,,,,,,
9,2025-05-15 23:27:15.683008,40.8159238,1.714976,4.299280643463135,44.11335390551222,23.670000000000016,49.0,1011.0,,8.2,16.0,32.24405785534841,4.236387575257269,,76.35741176086063,3.636259161094113,,,,,,,,,,,,,,,,
10,2025-05-15 23:27:20.682907,40.8157571,1.7148099,4.428297519683838,44.71499794874196,23.670000000000016,49.0,1011.0,,8.2,17.0,35.082797174191,4.171218822957308,,79.79779512293297,3.6237747156519795,,,,,,,,,,,,,,,,
