a,b,m,n1,n2,n3,Chomog_00,Chomog_01,Chomog_11,Chomog_22
0.2,0.2,1,2,2,2,0.79969751510878,0.248445939979905,0.799697515108785,0.244333814614958
0.546872705704211,0.2,1,2,5.33333333333333,2,0.736512524760338,0.221260559986171,0.73808589541698,0.214608315428326
0.689761944408631,0.2,1,2,8.66666666666667,2,0.668596580896498,0.196143792020076,0.694272569977201,0.18671837900724
0.76472449133173,0.2,1,2,12,2,0.601750505299265,0.174307018132218,0.66561354243865,0.162877435325214
0.0136798075734136,0.2,1,5.33333333333333,2,5.33333333333333,0.784017569289757,0.240994012162759,0.780531424823004,0.236293186117799
0.2,0.2,1,5.33333333333333,5.33333333333333,5.33333333333333,0.753017686469386,0.225738659409089,0.741421340790852,0.219665649047579
0.371419424480904,0.2,1,5.33333333333333,8.66666666666667,5.33333333333333,0.718636831200268,0.210475722595236,0.708435285538049,0.2025079442559
0.489042569619538,0.2,1,5.33333333333333,12,5.33333333333333,0.681913845509414,0.196301129259275,0.684187446268825,0.186467316552574
0.0136798075734136,0.2,1,8.66666666666667,2,5.33333333333333,0.358953472923611,0.0651284570170249,0.354842897330036,0.0482029814950442
0.000935685676228116,0.2,1,8.66666666666667,2,8.66666666666667,0.789331124919536,0.243066647322988,0.7844691264748,0.238595145549744
6.4e-05,0.2,1,8.66666666666667,2,12,1.00814690390038,0.332881764117465,1.00572649965026,0.332840661813257
0.073143163999183,0.2,1,8.66666666666667,5.33333333333333,8.66666666666667,0.770495702718022,0.233034218969197,0.756242108007894,0.227873190184096
0.0267496121990569,0.2,1,8.66666666666667,5.33333333333333,12,1.00023159120183,0.329060201941292,0.992821386115737,0.329042739018258
0.2,0.2,1,8.66666666666667,8.66666666666667,8.66666666666667,0.74983795318597,0.222350818545072,0.728572592976922,0.216161081077546
0.107694959831204,0.2,1,8.66666666666667,8.66666666666667,12,0.991246560540219,0.324606824040171,0.978348766458433,0.324626409601869
0.312743527389309,0.2,1,8.66666666666667,12,8.66666666666667,0.727489605125152,0.21174604409143,0.704961203875189,0.204081358037889
0.2,0.2,1,8.66666666666667,12,12,0.981090268778238,0.319630783804739,0.963570731038271,0.319589120293882
0.000935685676228116,0.2,1,12,2,8.66666666666667,0.504550631325345,0.119915472179472,0.499043235316348,0.103525470485519
6.4e-05,0.2,1,12,2,12,0.792203456565789,0.244472373159772,0.788097763858597,0.240118138185814
0.073143163999183,0.2,1,12,5.33333333333333,8.66666666666667,0.485095995202717,0.11001185726913,0.469382073306225,0.093285428717343
0.0267496121990569,0.2,1,12,5.33333333333333,12,0.778918957907088,0.237259598966623,0.767057896696115,0.23248923866188
0.2,0.2,1,12,8.66666666666667,8.66666666666667,0.464616225905007,0.100317290522745,0.441449264590332,0.0830779025263901
0.107694959831204,0.2,1,12,8.66666666666667,12,0.764624596156836,0.229419011102313,0.744867025916845,0.224129959181563
0.312743527389309,0.2,1,12,12,8.66666666666667,0.443223455948074,0.0915280715741602,0.418525589820354,0.0735076931498528
0.2,0.2,1,12,12,12,0.74928844132322,0.221239835597581,0.723387448221546,0.215162225052056
0.2,0.2,2,2,2,2,0.79969751510878,0.248445939979905,0.799697515108782,0.244333814614958
0.546872705704211,0.2,2,2,5.33333333333333,2,0.700726283733147,0.221370874215016,0.778477011516252,0.21628775209963
0.689761944408631,0.2,2,2,8.66666666666667,2,0.638039504122308,0.200739226998686,0.759102241180409,0.195679564586687
0.76472449133173,0.2,2,2,12,2,0.594309740930608,0.183045884646541,0.736874722785182,0.17790287522339
0.0136798075734136,0.2,2,5.33333333333333,2,5.33333333333333,0.76596205209287,0.239728153788174,0.792960352420671,0.235163497624061
0.2,0.2,2,5.33333333333333,5.33333333333333,5.33333333333333,0.701978759047812,0.22338268233174,0.782311417067517,0.219227365806924
0.371419424480904,0.2,2,5.33333333333333,8.66666666666667,5.33333333333333,0.656129641070331,0.210461037536068,0.773731049024319,0.207158824988952
0.489042569619538,0.2,2,5.33333333333333,12,5.33333333333333,0.621436764606639,0.198648616348271,0.763945707794034,0.195903852699005
0.0136798075734136,0.2,2,8.66666666666667,2,5.33333333333333,0.338063717198132,0.0640466906201101,0.369975923997825,0.047237973040918
0.000935685676228116,0.2,2,8.66666666666667,2,8.66666666666667,0.768973207833486,0.240243217192672,0.793089947147249,0.235649576543384
6.4e-05,0.2,2,8.66666666666667,2,12,0.996990987587514,0.330938648051415,1.00869353971885,0.330988544946946
0.073143163999183,0.2,2,8.66666666666667,5.33333333333333,8.66666666666667,0.719052654849229,0.228220959591834,0.785921991018828,0.224260177525948
0.0267496121990569,0.2,2,8.66666666666667,5.33333333333333,12,0.970154352945028,0.325135621191503,1.005009188395,0.326071387558645
0.2,0.2,2,8.66666666666667,8.66666666666667,8.66666666666667,0.680623503916422,0.218885681383502,0.780952672670339,0.216059925109475
0.107694959831204,0.2,2,8.66666666666667,8.66666666666667,12,0.946382010646763,0.320237872495826,1.00257921138743,0.322426264342441
0.312743527389309,0.2,2,8.66666666666667,12,8.66666666666667,0.650092891766005,0.210275931996441,0.77558990648637,0.20832285282607
0.2,0.2,2,8.66666666666667,12,12,0.925413257800975,0.315370923432335,0.99996395445374,0.318907164393051
0.000935685676228116,0.2,2,12,2,8.66666666666667,0.482099150666323,0.117243120346727,0.509480488521534,0.100622413530905
6.4e-05,0.2,2,12,2,12,0.773643724054598,0.241057929193374,0.793328016424665,0.236371406042672
0.073143163999183,0.2,2,12,5.33333333333333,8.66666666666667,0.429625882218448,0.105387166823727,0.50341214329428,0.0895578004655636
