a,b,m,n1,n2,n3,Chomog_00,Chomog_01,Chomog_11,Chomog_22
0.2,0.2,8,2,2,2,0.799697515108783,0.248445939979905,0.799697515108789,0.244333814614958
0.2,0.2,8,2.16161616161616,2.16161616161616,2.16161616161616,0.791927809942341,0.245093778936859,0.791927809942339,0.240724459942041
0.2,0.2,8,2.32323232323232,2.32323232323232,2.32323232323232,0.784520026730278,0.241851615513049,0.784520026730279,0.237308441849444
0.2,0.2,8,2.48484848484848,2.48484848484848,2.48484848484848,0.77755152740828,0.238773204814233,0.77755152740828,0.234109347636552
0.2,0.2,8,2.64646464646465,2.64646464646465,2.64646464646465,0.77105363268448,0.235879714923117,0.771053632684478,0.231129665130098
0.2,0.2,8,2.80808080808081,2.80808080808081,2.80808080808081,0.765028097977813,0.233177470987311,0.765028097977799,0.228359130269172
0.2,0.2,8,2.96969696969697,2.96969696969697,2.96969696969697,0.759418096103948,0.23066100169578,0.759418096103949,0.225779145683612
0.2,0.2,8,3.13131313131313,3.13131313131313,3.13131313131313,0.754218649815861,0.22832500387277,0.754218649815862,0.223393036455695
0.2,0.2,8,3.29292929292929,3.29292929292929,3.29292929292929,0.749428636200989,0.226164291514105,0.749428636200993,0.22119194407156
0.2,0.2,8,3.45454545454545,3.45454545454545,3.45454545454545,0.744989568297367,0.224160931456965,0.744989568297367,0.219142082374777
0.2,0.2,8,3.61616161616162,3.61616161616162,3.61616161616162,0.740888806949634,0.222301143075747,0.740888806949635,0.217237477495873
0.2,0.2,8,3.77777777777778,3.77777777777778,3.77777777777778,0.737004673831354,0.220548659374946,0.737004673831355,0.215442960477696
0.2,0.2,8,3.93939393939394,3.93939393939394,3.93939393939394,0.733430025463755,0.218930816302156,0.733430025463744,0.213791643692175
0.2,0.2,8,4.1010101010101,4.1010101010101,4.1010101010101,0.73006384646393,0.217413031458225,0.730063846463927,0.212242875677502
0.2,0.2,8,4.26262626262626,4.26262626262626,4.26262626262626,0.726905441305314,0.215988112675703,0.726905441305208,0.210780205761859
0.2,0.2,8,4.42424242424242,4.42424242424242,4.42424242424242,0.723964277033438,0.214657979802176,0.723964277033439,0.209412636912951
0.2,0.2,8,4.58585858585859,4.58585858585859,4.58585858585859,0.721271788650383,0.213435421946041,0.72127178865038,0.208156092266023
0.2,0.2,8,4.74747474747475,4.74747474747475,4.74747474747475,0.718747076900104,0.212282442521636,0.718747076900102,0.206968536108244
0.2,0.2,8,4.90909090909091,4.90909090909091,4.90909090909091,0.716365366199621,0.211199924771822,0.71636536619962,0.205851223308441
0.2,0.2,8,5.07070707070707,5.07070707070707,5.07070707070707,0.714104036481529,0.210180022258379,0.714104036481534,0.204810539932956
0.2,0.2,8,5.23232323232323,5.23232323232323,5.23232323232323,0.711870804398729,0.209176084111914,0.711870804398728,0.203777103833342
0.2,0.2,8,5.39393939393939,5.39393939393939,5.39393939393939,0.70976968521267,0.208230560814863,0.709769685212671,0.202801981968365
0.2,0.2,8,5.55555555555556,5.55555555555556,5.55555555555556,0.70780076591131,0.207342209719282,0.707800765911312,0.201884738291679
0.2,0.2,8,5.71717171717172,5.71717171717172,5.71717171717172,0.705933071410694,0.206497385446518,0.705933071410695,0.20101203995525
0.2,0.2,8,5.87878787878788,5.87878787878788,5.87878787878788,0.704167271138532,0.205698786151762,0.704167271138535,0.200188089423152
0.2,0.2,8,6.04040404040404,6.04040404040404,6.04040404040404,0.702514804169726,0.204951621505892,0.702514804169723,0.199417425705959
0.2,0.2,8,6.2020202020202,6.2020202020202,6.2020202020202,0.700959998603314,0.204249000301159,0.700959998603311,0.198692715102647
0.2,0.2,8,6.36363636363636,6.36363636363636,6.36363636363636,0.699499448135962,0.203588135872152,0.69949944813596,0.198010638402328
0.2,0.2,8,6.52525252525253,6.52525252525253,6.52525252525253,0.698106032868706,0.202960107671118,0.698106032868703,0.197361877945625
0.2,0.2,8,6.68686868686869,6.68686868686869,6.68686868686869,0.696823555440393,0.20238144816986,0.696823555440389,0.196762272949949
0.2,0.2,8,6.84848484848485,6.84848484848485,6.84848484848485,0.69564742089493,0.201847173628154,0.69564742089493,0.196204942818721
0.2,0.2,8,7.01010101010101,7.01010101010101,7.01010101010101,0.694398235046874,0.201269196680796,0.694398235046876,0.195596998671113
0.2,0.2,8,7.17171717171717,7.17171717171717,7.17171717171717,0.693226587466321,0.200741845356469,0.693226587466323,0.195045237174989
0.2,0.2,8,7.33333333333333,7.33333333333333,7.33333333333333,0.692076923169654,0.200223746218077,0.69207692316966,0.194505040938921
0.2,0.2,8,7.49494949494949,7.49494949494949,7.49494949494949,0.690921690009437,0.199701488189642,0.690921690009439,0.19396158496422
0.2,0.2,8,7.65656565656566,7.65656565656566,7.65656565656566,0.689820031727348,0.199204111200958,0.689820031727347,0.193444481558589
0.2,0.2,8,7.81818181818182,7.81818181818182,7.81818181818182,0.688769989389824,0.198730331059598,0.688769989389825,0.19295234929326
0.2,0.2,8,7.97979797979798,7.97979797979798,7.97979797979798,0.687770268312433,0.198279252623995,0.687770268312435,0.192484084889587
0.2,0.2,8,8.14141414141414,8.14141414141414,8.14141414141414,0.686819016950489,0.197849902368269,0.686819016950494,0.19203853088298
0.2,0.2,8,8.3030303030303,8.3030303030303,8.3030303030303,0.685913613119642,0.197441117353463,0.685913613119643,0.191614432795342
0.2,0.2,8,8.46464646464646,8.46464646464646,8.46464646464646,0.685050955533937,0.197051617740417,0.685050955533937,0.191210524067783
0.2,0.2,8,8.62626262626263,8.62626262626263,8.62626262626263,0.684227846271122,0.196680118749197,0.684227846271124,0.190825622451146
0.2,0.2,8,8.78787878787879,8.78787878787879,8.78787878787879,0.683441276300179,0.196325415450804,0.68344127630018,0.190458691520065
0.2,0.2,8,8.94949494949495,8.94949494949495,8.94949494949495,0.682688575712912,0.195986424270808,0.682688575712912,0.190108859862612
0.2,0.2,8,9.11111111111111,9.11111111111111,9.11111111111111,0.681967448060131,0.195662183958282,0.681967448060134,0.189775401411815
0.2,0.2,8,9.27272727272727,9.27272727272727,9.27272727272727,0.681231419966674,0.195332512028544,0.68123141996667,0.189435449790184
0.2,0.2,8,9.43434343434343,9.43434343434343,9.43434343434343,0.680507958006306,0.195009241874914,0.680507958006296,0.189100435519182
0.2,0.2,8,9.5959595959596,9.5959595959596,9.5959595959596,0.679793408920888,0.19469086111473,0.679793408920895,0.188770587177573
0.2,0.2,8,9.75757575757576,9.75757575757576,9.75757575757576,0.679108286552291,0.194384751309451,0.679108286552291,0.188452423920101
0.2,0.2,8,9.91919191919192,9.91919191919192,9.91919191919192,0.678451656022508,0.194090532534778,0.678451656022506,0.188145665984738
0.2,0.2,8,10.0808080808081,10.0808080808081,10.0808080808081,0.677821610164248,0.193807455402461,0.677821610164247,0.18784965977491
0.2,0.2,8,10.2424242424242,10.2424242424242,10.2424242424242,0.677216587887551,0.193534906303903,0.677216587887549,0.187563882395257
