Var1,Var2,Var3,Var4,Var5,Var6,Var7
5,0,2.1,13,0.980336536723402,2.7294461367234,2805.31874392741
8,0,3.8,84,-1.32935889086581,2.27174910913419,1650.50250370507
12,0,4,256,-0.0818798341559391,2.43889576584406,2027.81858553934
13,0,3.8,174,-0.68570871787736,2.40095528212264,1938.43008702462
14,0,2.9,14,0.20399497415103,2.41610417415103,1974.62361619474
17,0,2,86,-0.39477965603989,2.22888474396011,1564.40242299013
21,0,2.5,75,1.185464307993,2.728796307993,2811.6529089168
25,0,3.5,118,0.340535086839211,2.14108908683921,1387.18265609574
36,0,2.1,271,0.73462182568028,2.38084262568028,1807.66111557868
40,0,2.8,143,0.0828284775936897,2.80938167759369,2892.87320939286
44,0,2.3,180,-0.708105135230086,2.63578086476991,2393.70152628943
51,0,2.4,311,-1.23446319834945,2.36664480165055,1745.90330954138
74,0,2.5,203,-0.461803040740253,2.26475015925975,1538.75044297757
77,0,2,222,-0.509191080802744,2.73180611919726,2648.32278964666
83,0,2.3,149,-0.264732977091824,2.10170942290818,1245.22206581227
95,0,2.2,20,0.461854218934419,2.51963021893442,2121.53652413086
2,1.0006,3,165,-0.102379120585495,2.57272967941451,2342.62789483242
3,1.0014,2.7,288,0.719211859088916,2.31398825908892,1724.24484966858
6,1.0055,2.8,266,-0.734912685845627,2.76330651415437,2886.67585603132
13,1.0263,3.4,354,-0.945084968422606,2.39880103157739,1918.80856018769
14,1.0306,3.1,156,0.752174098289055,2.65561689828905,2576.98183281412
17,1.0457,2.4,52,-0.201237545454103,2.6282044545459,2501.03118747928
19,1.0576,2.3,27,-0.34566214415958,2.79244625584042,2981.40875069938
24,1.0946,2.2,209,-0.0950565997146353,2.16849700028536,1428.8217026981
26,1.1126,2.8,331,-0.610961694599314,2.68147990540069,2633.54255637785
34,1.2062,3.4,71,-0.540510417744362,2.59759798225564,2329.86626222035
53,1.6613,2.5,319,0.164612551085111,2.68538815108511,2504.32192585316
56,1.7879,2.2,242,-1.12640761432823,2.16603398567177,1344.29206686558
61,2.062,3.4,61,-0.45144453901308,2.32655306098692,1652.84357972098
62,2.1293,2.7,5,0.394003371662196,2.1431129716622,1303.55465987753
65,2.3651,2,335,-0.419895786493801,2.4609906135062,1945.4372085034
73,3.4166,3.1,68,0.701924247127876,2.29670064712788,1596.93576610089
94,14.0486,2.3,84,-0.804611960260886,2.64216283973911,2421.77053688114
97,8.1509,4,184,-0.442695595426622,2.07808000457338,1212.76962217558
98,7.1487,2.7,145,1.22767561972062,2.77100761972062,2789.67017468845
1,2.0003,3.6,165,-0.122854944702594,2.39792065529741,1902.36852604895
2,2.0012,3.3,356,-0.91720222778554,2.11801737221446,1328.34744538209
3,2.0027,2.3,325,-0.182476926158824,2.49263187384118,2129.30996552121
4,2.0049,3.7,52,-0.310241215908408,2.46775638409159,2068.2002193778
7,2.015,3.4,11,0.00774097064810768,2.68284977064811,2632.26725724206
8,2.0196,3.4,5,0.496152393944987,2.34815079394499,1789.04766331246
9,2.0249,2.4,309,0.533557529802605,2.12833392980261,1345.83098474417
10,2.0308,4,331,-0.872802420856163,2.21386157914384,1508.32020552401
14,2.0612,2.6,209,-0.112339617844569,2.35699158215543,1809.05545346665
15,2.0705,2.7,186,-1.10907641429985,2.23480958570015,1550.66180256325
19,2.1151,3.7,247,-0.714808660960973,2.11463333903903,1320.92884185135
37,2.5037,4,121,-0.100138028467709,2.16341557153229,1352.66725060327
42,2.6904,2.1,294,0.27886485388762,2.23375205388762,1471.37284937336
47,2.9312,2.2,122,-0.980979257105718,2.20857354289428,1418.77948653658
57,3.6686,2.3,43,0.656816719718822,2.25159311971882,1496.87313858746
63,4.3985,3.3,247,-0.637532048965192,2.19190995103481,1385.85007729153
66,4.9072,2.6,321,1.13497874680491,2.72975514680491,2615.87422425222
