"5","0","2.1","13","0.9803365367234","2.7294461367234","2805.3187439274"
"8","0","3.8","84","-1.3293588908658","2.2717491091342","1650.5025037051"
"12","0","4","256","-0.081879834155939","2.4388957658441","2027.8185855393"
"13","0","3.8","174","-0.68570871787736","2.4009552821226","1938.4300870246"
"14","0","2.9","14","0.20399497415103","2.416104174151","1974.6236161947"
"17","0","2","86","-0.39477965603989","2.2288847439601","1564.4024229901"
"21","0","2.5","75","1.185464307993","2.728796307993","2811.6529089168"
"25","0","3.5","118","0.34053508683921","2.1410890868392","1387.1826560957"
"36","0","2.1","271","0.73462182568028","2.3808426256803","1807.6611155787"
"40","0","2.8","143","0.08282847759369","2.8093816775937","2892.8732093929"
"44","0","2.3","180","-0.70810513523009","2.6357808647699","2393.7015262894"
"51","0","2.4","311","-1.2344631983495","2.3666448016505","1745.9033095414"
"74","0","2.5","203","-0.46180304074025","2.2647501592597","1538.7504429776"
"77","0","2","222","-0.50919108080274","2.7318061191973","2648.3227896467"
"83","0","2.3","149","-0.26473297709182","2.1017094229082","1245.2220658123"
"95","0","2.2","20","0.46185421893442","2.5196302189344","2121.5365241309"
"2","1.0006","3","165","-0.10237912058549","2.5727296794145","2342.6278948324"
"3","1.0014","2.7","288","0.71921185908892","2.3139882590889","1724.2448496686"
"6","1.0055","2.8","266","-0.73491268584563","2.7633065141544","2886.6758560313"
"13","1.0263","3.4","354","-0.94508496842261","2.3988010315774","1918.8085601877"
"14","1.0306","3.1","156","0.75217409828905","2.6556168982891","2576.9818328141"
"17","1.0457","2.4","52","-0.2012375454541","2.6282044545459","2501.0311874793"
"19","1.0576","2.3","27","-0.34566214415958","2.7924462558404","2981.4087506994"
"24","1.0946","2.2","209","-0.095056599714635","2.1684970002854","1428.8217026981"
"26","1.1126","2.8","331","-0.61096169459931","2.6814799054007","2633.5425563779"
"34","1.2062","3.4","71","-0.54051041774436","2.5975979822556","2329.8662622203"
"53","1.6613","2.5","319","0.16461255108511","2.6853881510851","2504.3219258532"
