Component,RMSE,MAE,MaxAbs,NRMSE_RMS,NRMSE_Range,R2
C1111,0.00119601963088027,0.00061713030760908,0.0236212617471052,0.00290780728816176,0.00116729697858592,0.999979602690097
C2222,0.000849520329181545,0.000458028000959567,0.00836713295712077,0.00233944545632319,0.000829126984278572,0.999988220323305
C1122,0.000192222487466484,9.22741068294736e-05,0.00296305331979413,0.00192097605199692,0.000633272101627546,0.999992248074086
C1212,0.000535013376755989,0.000218024488869536,0.00769003618160508,0.00416546796473787,0.0015166102592276,0.999965295845998
C1112,0.000203623869701888,0.000119590038396718,0.00303425736587443,0.00266457241707229,0.000588957668439462,0.999992900053834
C2212,0.000169719552125277,9.38040445366371e-05,0.00267842229476028,0.0022574260639178,0.000548718858493085,0.999994904027566
