Radius,Kcomp_01,Kcomp_02,Kcomp_03,Kcomp_04,Kcomp_05,Kcomp_06,Kcomp_07,Kcomp_08,Kcomp_09,Kcomp_10,Kcomp_11,Kcomp_12,Kcomp_13,Kcomp_14,Kcomp_15,Kcomp_16,Kcomp_17,Kcomp_18,Kcomp_19,Kcomp_20,Kcomp_21,Kcomp_22,Kcomp_23,Kcomp_24,Kcomp_25,Kcomp_26,Kcomp_27,Kcomp_28,Kcomp_29,Kcomp_30,Kcomp_31,Kcomp_32,Kcomp_33,Kcomp_34,Kcomp_35,Kcomp_36
0.15,0.664627612974431,-0.317474887377328,0.197874103849368,0.0839344081440025,-0.431414583082739,0.317474887377373,-0.43108713374106,-0.0839344081439724,0.604657959807653,0.011634566930262,-0.470575190221798,0.122448202655569,-0.299111821815398,-0.134082769585798,0.165029052229632,0.634381856460496,0.315061137537579,-0.319320718922808,-0.00560371794461033,-0.315061137537641,-0.309457419593104,0.372360091262157,0.372360091261965,-0.105282385486804,-0.372360091262043,-0.267077705775116,2.44851063566729e-07,-1.00473724765999e-08,-8.14396752200957e-08,-1.53102993470654e-07,0.514808298360091,2.64049898442536e-14,-0.514808298359984,1.52695269701809e-07,4.39876591532668e-08,1.7712079657954e-07
0.16,0.655096851461362,-0.310497455041801,0.193951302629034,0.0807921341814473,-0.423656623489404,0.310497455041832,-0.425391530600947,-0.0807921341814167,0.5980334406124,0.0121978348497993,-0.465672422737209,0.120163183025383,-0.29367833926435,-0.132361017875176,0.161317321389175,0.625608495648883,0.309165176256152,-0.316443319392677,-0.00593417974305604,-0.309165176256219,-0.303230996513179,0.367547799918783,0.36754779991865,-0.104612540987149,-0.367547799918639,-0.26293525893145,2.45077672651388e-07,-4.84944250204093e-09,-8.20862724281313e-08,-1.17777980726323e-07,0.510311699764573,-2.01428980646438e-14,-0.510311699764586,1.52984963304984e-07,6.56609530934721e-08,1.75418604535014e-07
0.17,0.645143688759799,-0.303058760488898,0.189887375455859,0.0774595215330331,-0.415486614411724,0.303058760488929,-0.419544449803856,-0.0774595215329865,0.591131830258905,0.0128135735533904,-0.460578719216947,0.117739537488568,-0.288105146259306,-0.130553111041902,0.157552035217473,0.616432458686146,0.302887231309263,-0.313545227376883,-0.00629891344844263,-0.30288723130932,-0.296588317860912,0.362502474601843,0.362502474601788,-0.103870231262697,-0.362502474601712,-0.258632243338983,1.40675958905363e-07,1.01522999351708e-07,-7.13520112814635e-08,-2.43587183196335e-07,0.505572511308645,4.61859365562239e-14,-0.5055725113085,2.11888371955224e-07,9.36372547146336e-08,1.45248283610938e-07
0.18,0.635070744748056,-0.295068735700494,0.185686514516761,0.0738523480338662,-0.406902902183247,0.295068012487208,-0.413854357081491,-0.0738516248207536,0.584301883864362,0.0135037154056031,-0.455575224287755,0.11522294417099,-0.282548133938648,-0.128726659576758,0.153821474361936,0.6071677108341,0.296172334113833,-0.310995376720442,-0.00671098750649709,-0.296172334113695,-0.289461346607067,0.357421918332355,0.357421918332564,-0.103117076799703,-0.357421918332426,-0.254304841532917,2.00197530426747e-07,-3.76126658856876e-07,-4.99688122265633e-08,3.26146244980494e-07,0.500896577570697,-1.9856504616183e-13,-0.500896577570722,1.93789611223047e-07,9.03481344401341e-08,1.38779405213558e-07
0.19,0.624371663113285,-0.28669853345401,0.181123345804455,0.0699864204511177,-0.397835458807283,0.286698393723549,-0.407659550110329,-0.0699862807206892,0.576949970905875,0.0143085030250177,-0.45007103096227,0.112570436918584,-0.276666456794586,-0.126878939943729,0.149787516850861,0.597373443359088,0.289216965378386,-0.308156477980737,-0.00719231004610151,-0.28921696537842,-0.282024655332239,0.352043183750028,0.352043183750013,-0.102315703900452,-0.352043183749888,-0.249727479849534,1.99711697603467e-07,-1.54561676239174e-07,-9.95607841206581e-08,1.05255081302383e-07,0.495789056097034,-3.10870748268062e-13,-0.495789056097189,1.73005141719599e-07,2.86364676819785e-08,1.62591291197427e-07
0.2,0.613316612804683,-0.278431497881767,0.176706810063359,0.0663699188792774,-0.388768389065947,0.278435425090243,-0.401255033802145,-0.0663738460876388,0.569068805940771,0.0149299482591818,-0.444276573444856,0.109862284236721,-0.27058442592591,-0.124792232495857,0.145792193430051,0.587118268046481,0.282175637908786,-0.304942630137547,-0.00758890520401121,-0.282175637908819,-0.274586732704929,0.346344650191043,0.346344650190808,-0.101365037827947,-0.346344650190921,-0.244979612362804,2.23610530770703e-07,9.45551243934714e-08,-8.95450586944909e-08,-1.84206436446296e-07,0.490194272384874,4.69258962977999e-14,-0.490194272384873,1.78667164790534e-07,1.23237979845248e-07,1.30418051042759e-07
0.21,0.602065564367287,-0.270021656714857,0.17279096780934,0.0632749777884322,-0.379537646735764,0.270021682400215,-0.395318885440813,-0.0632750034737577,0.561012975366519,0.0152713946052748,-0.43863644222288,0.107105138538347,-0.26448472477055,-0.122376533143562,0.142108191626963,0.576540503968777,0.274631350656721,-0.301909153312004,-0.00785446954333338,-0.274631350656755,-0.266776881113451,0.340313783077182,0.340313783077087,-0.10029276536699,-0.340313783077064,-0.24002101771008,1.99920056238752e-07,-1.19069345456147e-07,-4.98404766925018e-08,1.89261098652952e-08,0.48442031702298,6.74882806449753e-14,-0.484420317022931,2.39840533196642e-07,6.27321900202259e-08,1.27229967604324e-07
0.22,0.590729334175619,-0.261258900908987,0.168708861304882,0.0600216058925374,-0.369946156321349,0.261259053099821,-0.389492039159118,-0.0600217580833205,0.552944076401157,0.015589628242109,-0.43303740653161,0.104317041627429,-0.258266815303782,-0.119906669869522,0.138360145434278,0.565911123512043,0.266752112675855,-0.299159010836112,-0.00811771391898693,-0.266752112675907,-0.258634398756955,0.334249527396892,0.334249527396794,-0.0992323945486113,-0.334249527396769,-0.235017132848136,1.9964219640157e-07,-3.37334414946038e-08,-1.00129295599917e-07,-6.62421080306292e-08,0.478677797472364,-1.81371621114197e-14,-0.478677797472327,1.73318485926414e-07,5.79215209876397e-08,1.91490567507163e-07
0.23,0.579448423902904,-0.251990900367583,0.16461528304323,0.0567158562219627,-0.359890327188885,0.251990900367721,-0.384173379757163,-0.0567158562219454,0.545097877258566,0.0158093440641492,-0.427789986268663,0.10149854692572,-0.251966867935059,-0.117307890989664,0.134658976945411,0.555348853597798,0.258292623603482,-0.297056229994233,-0.00834468091947414,-0.258292623603615,-0.249947942684223,0.32816926966594,0.328169269665775,-0.098215201540169,-0.328169269665789,-0.229954068125509,1.99815904079436e-07,2.26253914313015e-08,-4.98970493525308e-08,-7.27129415809578e-08,0.473210876609464,2.63730444478078e-13,-0.473210876609168,1.65873631739154e-07,4.53080889295983e-08,1.24342049568959e-07
0.24,0.567491492655071,-0.242085827133082,0.161255790776959,0.0541907725286941,-0.349150845381346,0.242085827133082,-0.379596438050665,-0.0541907725286765,0.536745624275067,0.0154355037565307,-0.422832976408715,0.0984771441097844,-0.245290795472419,-0.113912647866307,0.131378147606112,0.543879498970654,0.248528785815654,-0.295350713154962,-0.00827159713386257,-0.248528785815679,-0.240257188681816,0.321263894224386,0.321263894224307,-0.0969441691077056,-0.32126389422431,-0.224319725116604,2.00128197946598e-07,-1.32073763433329e-07,-1.00118613455452e-07,3.18263445148018e-08,0.467398865629554,1.59838498518269e-15,-0.467398865629509,1.41693983622832e-07,7.04301206370004e-08,1.58426280959895e-07
0.25,0.555548825039789,-0.232001694508397,0.157887489230146,0.0517291318151591,-0.338160051923384,0.232001694508415,-0.375276262346497,-0.0517291318151411,0.528385632748169,0.0149362627476694,-0.417999076494554,0.0954502935059076,-0.238487994967431,-0.110386556253572,0.12810143871387,0.532431165318873,0.238461304209712,-0.293969861109123,-0.00813248278817676,-0.238461304209766,-0.230328821421603,0.314250280056205,0.314250280056094,-0.0956610744886268,-0.314250280056084,-0.218589205567429,1.99885344882254e-07,-4.67615702798787e-08,-9.98980564477026e-08,-1.03015556270865e-07,0.461625036910335,8.92837799735012e-15,-0.461625036910289,1.72971148650398e-07,8.67577772872421e-08,1.7288031701164e-07
