Radius,Kcomp_01,Kcomp_02,Kcomp_03,Kcomp_04,Kcomp_05,Kcomp_06,Kcomp_07,Kcomp_08,Kcomp_09,Kcomp_10,Kcomp_11,Kcomp_12,Kcomp_13,Kcomp_14,Kcomp_15,Kcomp_16,Kcomp_17,Kcomp_18,Kcomp_19,Kcomp_20,Kcomp_21,Kcomp_22,Kcomp_23,Kcomp_24,Kcomp_25,Kcomp_26,Kcomp_27,Kcomp_28,Kcomp_29,Kcomp_30,Kcomp_31,Kcomp_32,Kcomp_33,Kcomp_34,Kcomp_35,Kcomp_36
0.111,0.697754415831244,-0.341954224316521,0.215972008698038,0.0983055497718121,-0.459620683242747,0.34195056771623,-0.454105741143218,-0.0983018931715211,0.627237443597787,0.00833319424847715,-0.489077293629307,0.129826955558978,-0.319438070051642,-0.138160149729323,0.181277920244187,0.663447906455022,0.333850131909287,-0.329597774394492,-0.00387757387276365,-0.333850131957437,-0.329972558037038,0.387449908892034,0.387449908300357,-0.10641882819679,-0.387449908326924,-0.281031080233443,2.00249832824718e-05,-5.68371282849455e-06,-1.00374565737373e-05,-4.35374488431885e-06,0.529193599536133,5.72380940275453e-11,-0.52919359926491,1.73277059426447e-05,5.78549351618235e-06,1.6333323167306e-05
0.112,0.697005584072323,-0.341462956905528,0.215516648630484,0.0980086042365361,-0.458971001299476,0.341451538417381,-0.45355123125986,-0.0979971857483893,0.626745751074815,0.00847052598223519,-0.488596049394924,0.129679175538101,-0.318978798690245,-0.138149701443766,0.180829097169908,0.662784925882197,0.333401600351851,-0.329383325377428,-0.00393326047794328,-0.333401600401521,-0.329468339875947,0.387104192980525,0.387104192389107,-0.106455424321958,-0.38710419241771,-0.280648768197096,2.0000001521293e-05,-5.66263546474218e-06,-1.0000002055051e-05,-4.33736689612087e-06,0.528885415771612,5.56326651850995e-11,-0.528885415500502,1.72916184790464e-05,5.72531487412923e-06,1.63774453679844e-05
0.113,0.696235936280224,-0.34089526993113,0.215066300698293,0.0976590665734232,-0.458302504056,0.340898536425836,-0.452999732778888,-0.0976623330681292,0.626225550529984,0.00854275041014629,-0.488162341917401,0.129520458044347,-0.318473889711465,-0.13806320837471,0.180410681258568,0.662122082992541,0.332974735622165,-0.329147347217307,-0.00396037770974452,-0.332974735670376,-0.32901435791297,0.386771576597965,0.386771576008104,-0.10644442462641,-0.386771576033944,-0.280327151510984,1.99749836533385e-05,-5.63348255150398e-06,-9.96245813059851e-06,-4.32896916873035e-06,0.528570564389832,5.77332749160978e-11,-0.528570564117861,1.73132683559749e-05,5.81920184202964e-06,1.63366572711985e-05
0.114,0.695457021305415,-0.340308806909097,0.214609702978978,0.0972972086844228,-0.457621301203652,0.340313584731303,-0.45244542293695,-0.0973019865051913,0.625686133483959,0.00858702295506357,-0.487745528259885,0.129353582109186,-0.317946720467367,-0.137940604986043,0.1800061154039,0.661458107580551,0.332556560469949,-0.328901546955834,-0.00398781938497087,-0.332556560521204,-0.32856874108753,0.386438066266902,0.386438065673217,-0.106407560938259,-0.386438065697203,-0.280030504862738,2.00249832824718e-05,-5.66148654084602e-06,-1.00374614554418e-05,-4.3260353552275e-06,0.528252738415095,5.93212127220344e-11,-0.528252738143262,1.73565348174271e-05,5.91999603466153e-06,1.63157355882571e-05
0.115,0.694673270187503,-0.33973967687327,0.214149098840159,0.0969479401673566,-0.456940835544632,0.339744147428181,-0.451881533337637,-0.0969524107222682,0.625152480902896,0.00865813949876684,-0.487302710967458,0.129191630277493,-0.317436500894234,-0.137849769697247,0.179586731118757,0.660782710537562,0.33212280904096,-0.328659901343648,-0.00402525575322113,-0.332122809090733,-0.328097553289834,0.386093211165148,0.386093210575892,-0.106394857886849,-0.386093210601432,-0.279698352818188,1.9974986432372e-05,-5.66189804795361e-06,-9.96246617534595e-06,-4.30057080290443e-06,0.527930167686621,5.69649130177321e-11,-0.527930167415154,1.73132781550886e-05,5.7614366591157e-06,1.63265178187557e-05
0.116,0.693899553649518,-0.339180518202029,0.213678303133612,0.0965812644215218,-0.45627755691412,0.339177623163418,-0.451300299724898,-0.0965783693814696,0.624608887763537,0.00871551453563332,-0.486864872883503,0.1290285001843,-0.316918963844202,-0.137744014641676,0.17917494912505,0.660084105757228,0.331667039349885,-0.328417066253733,-0.00405865330051486,-0.331667039399683,-0.327608386051961,0.385744907387968,0.385744906794585,-0.10637847801264,-0.385744906821153,-0.279366428911166,1.99749871271303e-05,-5.71907921959134e-06,-1.00125271628773e-05,-4.29344540164922e-06,0.527603711222282,5.77943275426315e-11,-0.527603710951999,1.73132704277803e-05,5.81919789835105e-06,1.62753226656569e-05
0.117,0.693080798140448,-0.338581270258258,0.213218094407593,0.0962379839868015,-0.45556138067905,0.338585101713417,-0.450737511724708,-0.096241815441961,0.624068218159926,0.00880518542631484,-0.48640320514426,0.128859827429112,-0.316405927261542,-0.137665012777148,0.178740914406115,0.659408495889159,0.331241211791529,-0.328167283945355,-0.0041026472747596,-0.331241211841368,-0.327138564517393,0.385390669641115,0.38539066904852,-0.106366286806709,-0.385390669071201,-0.279024382372154,1.99749871271303e-05,-5.6624774444222e-06,-1.00625923590749e-05,-4.29998909240747e-06,0.527271217702718,5.6995866168667e-11,-0.527271217430649,1.73419834620495e-05,5.80971421224215e-06,1.63400337100924e-05
0.118,0.692272009412485,-0.33799107782586,0.212747218299339,0.09587645371554,-0.454861842409659,0.337994583534551,-0.450157385159158,-0.0958799594242311,0.623517940734758,0.00888150043753577,-0.485946630141083,0.128689809994155,-0.315885774960628,-0.137571310355774,0.178314464527334,0.658709750039326,0.330792944857461,-0.327916805027869,-0.00414277973801401,-0.330792944906856,-0.326650165121609,0.385033141133313,0.385033140536854,-0.106350441195825,-0.385033140566516,-0.278682699473498,2.00249846685192e-05,-5.69109993470155e-06,-1.00374664465362e-05,-4.34636613397764e-06,0.526935096940729,5.64850114203728e-11,-0.526935096671485,1.72698956219707e-05,5.74695907103981e-06,1.62856326583134e-05
0.119,0.691453710833921,-0.337388636851257,0.212272781735427,0.095505321412414,-0.45415609717427,0.337393946581963,-0.449570395250455,-0.0955106311431197,0.622963619722413,0.0089533219336716,-0.485487916492443,0.128522381135775,-0.315365419655464,-0.137475702991121,0.177889716586018,0.658004472277853,0.330340467714525,-0.327664004407649,-0.00418379229125057,-0.33034046776595,-0.326156675425459,0.38467081701227,0.384670816416023,-0.106338690809998,-0.384670816445204,-0.278332125740439,2.00499380699364e-05,-5.65469331402354e-06,-9.9750966677778e-06,-4.27052580619137e-06,0.526594755553342,5.73678485303951e-11,-0.526594755278746,1.72770784723014e-05,5.78772907063034e-06,1.63398963876461e-05
0.12,0.690630494502668,-0.336797182572281,0.211793132506162,0.095146003583753,-0.45344431149469,0.336798925179956,-0.448979315369345,-0.0951477461914276,0.622407807338062,0.00905311975171412,-0.485009889797248,0.12834479763004,-0.314846466648804,-0.137397917303402,0.17744854926705,0.657287927457205,0.329875347888192,-0.327412579414682,-0.00423060561655722,-0.329875347938119,-0.325644742273826,0.384302628577461,0.384302627984034,-0.10632842503129,-0.384302628010617,-0.277974203083338,1.99499351078176e-05,-5.64034874046906e-06,-9.9749673696173e-06,-4.3346166679333e-06,0.526250380512983,5.65876801979581e-11,-0.526250380241211,1.72771563362445e-05,5.75904812681495e-06,1.63197191771962e-05
