a,b,Chomog_00,Chomog_01,Chomog_11,Chomog_22
0.01,0.01,1.12485276375161,0.374931232733021,1.12485276375161,0.374952883546906
0.01,0.018135593220339,1.12454979567971,0.374845690653794,1.12470737561731,0.374880115139503
0.01,0.026271186440678,1.12382440337666,0.374635772320748,1.12452635962495,0.374768876439384
0.01,0.0344067796610169,1.12345484005518,0.374518794779689,1.12443600000106,0.374692219770415
0.01,0.0425423728813559,1.12290322110973,0.374340152520952,1.12430497693218,0.374580615774535
0.01,0.0506779661016949,1.12202980106096,0.374068263060681,1.12414280491978,0.374434086811978
0.01,0.0588135593220339,1.12103080424754,0.373768294257632,1.12398649725869,0.374280688925433
0.01,0.0669491525423729,1.11975200535006,0.373376940475611,1.12379073969667,0.374106771656377
0.01,0.0750847457627119,1.11887540683769,0.373088901136873,1.12363291822366,0.373950103216098
0.01,0.0832203389830509,1.11781357482227,0.372741674746261,1.12344827631335,0.373765301726383
0.01,0.0913559322033898,1.11657344905885,0.372341535129851,1.12325214124323,0.373564141972836
0.01,0.0994915254237288,1.11511780222728,0.371875677023504,1.12303293237108,0.373340602454458
0.01,0.107627118644068,1.11342169021702,0.371336082072132,1.12279251726982,0.373103325905837
0.01,0.115762711864407,1.1118360522046,0.370823965009303,1.12255898687378,0.372872210569767
0.01,0.123898305084746,1.11043169648839,0.370358264448244,1.12233648294505,0.37263458610407
0.01,0.132033898305085,1.10884657810185,0.369837514917436,1.12209809087872,0.372377882934446
0.01,0.140169491525424,1.10704660604004,0.369249507484043,1.12183705651837,0.37210010151882
0.01,0.148305084745763,1.1050128853141,0.368589600610604,1.12155532409217,0.371806403481005
0.01,0.156440677966102,1.10272677599596,0.367851025537093,1.12124764804909,0.371502822956176
0.01,0.164576271186441,1.10098889007509,0.367272668838791,1.12098833174028,0.371215982684062
0.01,0.17271186440678,1.09910961509605,0.366649151272177,1.12071331814434,0.370909163679176
0.01,0.180847457627119,1.09702337951669,0.365960915951451,1.12041876478196,0.370583031815265
0.01,0.188983050847458,1.09470182642452,0.365198836140099,1.12010034204388,0.370237621849226
0.01,0.197118644067797,1.09212472015581,0.364356583197648,1.11975706516945,0.369878413225967
0.01,0.205254237288136,1.08967192038521,0.36355018176541,1.11942409689624,0.369527459004463
0.01,0.213389830508475,1.08754500118616,0.362840703398838,1.11911978850868,0.369175854891797
0.01,0.221525423728814,1.08521292397585,0.362066591545098,1.11879535113595,0.368804077787322
0.01,0.229661016949153,1.08264998550537,0.361219319852638,1.11844719525588,0.368412165447603
0.01,0.237796610169492,1.07983453985418,0.360292339279398,1.11807435525827,0.368003613749252
0.01,0.245932203389831,1.07676000135624,0.3592834326384,1.11767506858942,0.367586504974148
0.01,0.254067796610169,1.07430882713169,0.358465940200921,1.11733517915137,0.36718992512986
0.01,0.262203389830508,1.07176696279273,0.357618548270888,1.1169849190835,0.366775399238247
0.01,0.270338983050847,1.06900120572727,0.356699981506085,1.11661234008189,0.366340647252093
0.01,0.278474576271186,1.06598720781634,0.355702368919931,1.11621425632295,0.365886727323488
0.01,0.286610169491525,1.06270884802067,0.354620687323684,1.11578959192794,0.365418974180027
0.01,0.294745762711864,1.05954586289823,0.353574056590074,1.11537554776979,0.364960604823211
0.01,0.302881355932203,1.05682765254593,0.35266514428725,1.11500410697637,0.364506380922531
0.01,0.311016949152542,1.05389099056113,0.351686459104778,1.11461047898287,0.364031128453876
0.01,0.319152542372881,1.05071345659012,0.350630666328464,1.11419190458072,0.363535487007464
0.01,0.32728813559322,1.04727561355312,0.349491705400679,1.11374699912043,0.363022777564459
0.01,0.335423728813559,1.04357661275981,0.348269367188689,1.1132751919421,0.362501779720133
0.01,0.343559322033898,1.04053046941739,0.347252122270067,1.11286816289998,0.362004506867015
0.01,0.351694915254237,1.03745184382266,0.346223364456596,1.1124568044393,0.361490997592724
0.01,0.359830508474576,1.03414105128414,0.345120093858156,1.11202170958092,0.360956493984602
0.01,0.367966101694915,1.03057694650311,0.34393546441167,1.11156028548322,0.360402514068409
0.01,0.376101694915254,1.02674685400149,0.342665532981841,1.11107160576204,0.359834491854693
0.01,0.384237288135593,1.02300603753709,0.341423390805095,1.11059155604419,0.359276171112018
0.01,0.392372881355932,1.01981221532355,0.340353884089342,1.11016599339534,0.358726701329552
0.01,0.400508474576271,1.01639418332702,0.33921219070337,1.10971724047582,0.358155422066966
0.01,0.40864406779661,1.01273210698786,0.337991843817978,1.10924298563401,0.357563284737397
0.01,0.416779661016949,1.00880915214397,0.336687536150664,1.10874185543042,0.356953661025804
0.01,0.424915254237288,1.00462787442414,0.33530022112799,1.10821388226889,0.356335671298861
0.01,0.433050847457627,1.0010959555706,0.33411957131592,1.10775191156807,0.355743868867497
0.01,0.441186440677966,0.997594200060058,0.332947601959818,1.10729222596277,0.355137760038239
0.01,0.449322033898305,0.993858481847639,0.331700079144966,1.10680826079505,0.354509964523511
0.01,0.457457627118644,0.989870410733966,0.330371042554927,1.10629783499024,0.35386228147387
0.01,0.465593220338983,0.985620089286913,0.328957425346263,1.10576020491791,0.353200258476944
0.01,0.473728813559322,0.981422127847999,0.327560316826743,1.1052277662421,0.352547589874991
0.01,0.481864406779661,0.977858109416774,0.32636552789241,1.10475991684612,0.351908583925266
0.01,0.49,0.974069655597243,0.325098096340386,1.10426858599794,0.351247056860084
0.018135593220339,0.01,1.12470737561731,0.374845690653795,1.12454979567971,0.374880115139503
0.018135593220339,0.018135593220339,1.12419303189059,0.374691442863433,1.12419303189059,0.374743771591429
